id,neighborhood,house_style,lot_area,gr_liv_area,total_bsmt_sf,garage_area,year_built,year_remod,overall_qual,overall_cond,full_bath,half_bath,bedroom_abvgr,totrms_abvgrd,fireplaces,distance_to_downtown_km,school_rating,crime_index,median_income_area,has_pool,noise_1,noise_2,noise_3,sale_price,true_price_no_noise
14,Suburbia,1.5Story,11953.0,1282.0,1597.0,,1990,1998,2,4,2,1,6,9,1,11.79,4.0,29.9,63.7,False,0.347,0.285,85.0,268200.0,290451.0
15,Hillcrest,2Story,6797.0,1994.0,304.0,377.0,1945,1972,2,9,2,2,6,7,1,3.89,5.0,39.8,75.4,True,-0.32,0.222,36.0,325400.0,364606.0
16,Lakeside,1.5Story,6461.0,1108.0,353.0,351.0,1938,1954,8,4,3,2,2,6,0,1.65,1.0,36.8,53.9,False,-0.632,0.588,77.0,338500.0,328146.0
17,Riverside,SplitLevel,12688.0,1593.0,815.0,551.0,1987,1988,3,10,1,0,5,6,1,5.18,1.0,16.6,70.4,False,0.499,0.681,7.0,345100.0,331207.0
18,Downtown,2Story,12154.0,1411.0,967.0,534.0,1909,1918,7,10,2,1,6,8,2,1.0,6.0,16.3,65.7,False,0.403,0.487,33.0,386300.0,418021.0
19,Suburbia,1Story,12043.0,1575.0,867.0,492.0,1933,1965,2,1,2,1,5,8,2,0.47,5.0,33.4,26.5,False,-1.053,0.668,80.0,259000.0,253850.0
20,Suburbia,2Story,7138.0,1811.0,260.0,591.0,1951,1979,1,7,2,0,5,8,0,7.05,8.0,0.0,77.8,True,-1.798,0.004,89.0,343400.0,340722.0
21,Suburbia,1Story,7960.0,1291.0,1434.0,355.0,1927,1960,8,1,2,1,5,6,1,2.23,9.0,18.5,59.9,False,-0.492,0.328,2.0,319900.0,336294.0
22,Hillcrest,1.5Story,7935.0,2715.0,1855.0,285.0,1967,1981,4,9,2,0,4,8,2,3.27,1.0,31.9,45.3,False,-0.673,0.609,49.0,423900.0,412815.0
23,Old Town,1Story,10656.0,2121.0,1488.0,376.0,1978,2016,6,2,1,1,5,7,0,13.85,10.0,42.9,54.9,False,0.603,0.651,87.0,352000.0,337933.0
24,Old Town,1Story,13957.0,2837.0,1406.0,0.0,2021,2026,1,9,2,2,4,6,2,1.57,10.0,65.1,71.7,False,-0.924,0.194,46.0,373300.0,360226.0
25,Suburbia,1Story,9217.0,1762.0,1045.0,132.0,1975,1990,2,8,2,2,6,7,1,5.55,6.0,25.5,68.8,False,-0.178,0.332,29.0,325800.0,304207.0
26,Lakeside,2Story,16175.0,1548.0,596.0,373.0,1974,1982,1,6,1,0,3,4,1,5.86,4.0,35.7,79.6,False,-1.707,0.226,72.0,368700.0,356330.0
27,Riverside,2Story,11092.0,2817.0,980.0,637.0,1991,2026,3,3,3,1,5,9,2,0.42,2.0,0.0,75.9,False,-1.551,0.899,79.0,422700.0,432978.0
28,Downtown,SplitLevel,7464.0,1532.0,1834.0,588.0,1926,1940,3,3,2,2,2,3,1,3.2,3.0,41.7,46.9,False,-0.769,0.296,95.0,442500.0,348112.0
29,Downtown,1Story,10830.0,1752.0,802.0,544.0,1959,1979,4,5,3,2,4,7,0,1.78,8.0,16.8,22.0,False,-0.251,0.882,91.0,352300.0,347581.0
30,Suburbia,1Story,14722.0,2246.0,,481.0,2004,2026,3,9,2,0,6,10,0,4.25,2.0,28.8,70.2,False,-0.82,0.884,3.0,362400.0,343574.0
31,Suburbia,1.5Story,16308.0,1169.0,1415.0,692.0,1922,1933,5,9,3,1,3,5,2,6.02,10.0,,79.4,False,0.143,0.526,81.0,364800.0,367898.0
32,Old Town,2Story,12276.0,2241.0,,290.0,1936,1972,10,6,1,2,5,8,1,3.08,2.0,45.4,64.4,False,-1.701,0.871,17.0,382400.0,390255.0
33,Hillcrest,2Story,8176.0,2171.0,594.0,306.0,1927,1933,1,3,3,2,4,6,2,4.64,8.0,5.9,79.9,True,-0.215,0.077,83.0,368100.0,388572.0
34,Hillcrest,2Story,7511.0,2548.0,840.0,0.0,2020,2026,9,6,1,0,2,4,2,15.43,9.0,51.0,50.0,True,-0.203,0.126,80.0,429100.0,418251.0
35,Riverside,SplitLevel,9913.0,2340.0,739.0,464.0,1944,1959,5,9,3,0,2,7,2,3.14,3.0,34.2,61.8,False,-1.448,0.407,23.0,379400.0,376815.0
36,Lakeside,1.5Story,14558.0,2565.0,979.0,0.0,1940,1959,6,6,1,0,2,5,2,10.67,5.0,60.3,51.4,False,0.228,0.692,44.0,394300.0,405052.0
37,Downtown,1Story,9432.0,1789.0,1414.0,0.0,2002,2011,7,9,1,2,4,6,2,1.06,6.0,64.2,80.6,False,-2.169,0.971,77.0,409800.0,400306.0
38,Riverside,2Story,9500.0,1376.0,612.0,0.0,2014,2026,8,1,2,0,3,4,1,0.81,8.0,67.1,51.6,False,-0.685,0.467,85.0,294300.0,298505.0
39,Lakeside,2Story,8250.0,3010.0,1408.0,326.0,1900,1927,10,6,2,1,6,7,1,2.86,1.0,6.5,105.1,False,0.787,0.007,87.0,543600.0,559948.0
40,Suburbia,1Story,7225.0,1010.0,993.0,322.0,2010,2026,10,1,1,0,5,7,2,2.98,3.0,43.0,59.0,False,-2.225,0.182,35.0,305900.0,289425.0
41,Hillcrest,1Story,7656.0,1065.0,1927.0,0.0,1989,2019,1,7,2,2,2,5,2,3.3,2.0,3.5,82.4,False,0.671,0.438,7.0,293100.0,318649.0
42,Suburbia,SplitLevel,8496.0,2161.0,1084.0,493.0,2008,2026,5,7,3,0,4,9,2,2.99,4.0,61.0,59.2,False,-1.166,0.69,97.0,343600.0,341816.0
43,Suburbia,1.5Story,14785.0,2744.0,909.0,,1910,1936,6,4,1,1,5,8,2,2.28,7.0,63.9,92.1,False,-0.59,0.587,86.0,427700.0,429096.0
44,Hillcrest,1Story,7451.0,1954.0,1191.0,414.0,1904,1931,6,8,3,0,5,10,0,7.64,5.0,54.6,91.4,False,1.407,0.876,21.0,378300.0,398615.0
45,Suburbia,1.5Story,8254.0,2400.0,808.0,411.0,1942,1971,10,10,3,1,2,6,1,5.2,5.0,26.5,62.2,False,-0.627,0.266,58.0,416800.0,412799.0
46,Suburbia,SplitLevel,5986.0,752.0,196.0,690.0,2007,2026,7,5,3,1,2,6,2,8.58,5.0,45.9,72.9,True,1.614,0.54,94.0,274700.0,283246.0
47,Hillcrest,1Story,10413.0,1575.0,849.0,618.0,1962,1970,5,5,3,2,4,8,0,0.73,1.0,24.0,90.9,False,-0.305,0.144,32.0,392300.0,371484.0
48,Hillcrest,1Story,13073.0,819.0,842.0,483.0,1990,2011,10,2,1,1,6,6,0,11.56,1.0,35.3,73.5,False,-0.085,0.645,78.0,333200.0,320730.0
49,Suburbia,SplitLevel,14308.0,2279.0,281.0,210.0,1930,1937,8,1,3,1,2,5,2,0.82,3.0,33.2,51.4,True,0.842,0.762,48.0,344600.0,341871.0
50,Downtown,2Story,8701.0,999.0,919.0,330.0,1942,1949,8,5,2,0,2,3,2,2.72,1.0,0.0,69.3,False,0.544,0.513,97.0,334600.0,365408.0
51,Lakeside,SplitLevel,9907.0,1147.0,82.0,291.0,2010,2026,7,5,1,2,2,3,1,6.11,9.0,18.8,54.5,False,0.154,0.448,40.0,329100.0,336018.0
52,Downtown,2Story,7679.0,2133.0,804.0,466.0,1961,1980,1,8,3,2,3,5,2,1.88,10.0,80.4,70.7,False,-0.463,0.186,16.0,375900.0,383766.0
53,Suburbia,1Story,9748.0,2434.0,1052.0,379.0,1998,2026,10,9,2,2,6,10,1,7.55,5.0,33.3,53.8,False,-1.551,0.934,95.0,418200.0,403272.0
54,Suburbia,1.5Story,9044.0,1763.0,991.0,716.0,1980,2009,8,2,3,2,6,11,1,6.45,7.0,38.2,74.7,False,-1.502,0.606,35.0,377100.0,374912.0
55,Suburbia,1Story,8270.0,2164.0,777.0,209.0,1922,1923,2,2,2,0,3,6,2,9.88,1.0,34.8,35.8,False,1.313,0.815,27.0,259200.0,255264.0
56,Suburbia,1Story,8503.0,2146.0,914.0,274.0,2018,2026,3,6,1,2,5,6,1,2.02,1.0,26.8,47.8,False,1.699,0.024,19.0,311500.0,298930.0
57,Hillcrest,1Story,9492.0,1732.0,621.0,499.0,2019,2026,4,4,3,2,2,4,2,4.88,7.0,35.7,53.7,True,0.13,0.251,41.0,373200.0,353022.0
58,Riverside,2Story,7310.0,1248.0,955.0,543.0,1998,2010,3,8,3,1,4,8,2,10.43,8.0,26.9,65.1,False,-1.774,0.482,82.0,352300.0,334263.0
59,Downtown,2Story,7444.0,2161.0,974.0,120.0,1959,1966,7,4,2,0,5,6,2,1.49,10.0,0.0,40.8,False,-0.772,0.536,34.0,420500.0,413696.0
60,Downtown,2Story,14729.0,2187.0,572.0,0.0,1953,1980,6,5,2,1,6,7,0,11.31,4.0,50.7,52.1,False,-0.822,0.405,26.0,353600.0,356964.0
61,Suburbia,1Story,20925.0,2342.0,1062.0,418.0,1937,1942,3,5,1,1,6,6,2,1.71,5.0,67.3,82.0,False,-0.556,0.337,44.0,365900.0,360545.0
62,Riverside,1Story,5316.0,2022.0,1060.0,677.0,1981,1999,7,7,3,2,2,5,1,1.88,8.0,,84.1,False,-0.885,0.45,52.0,433200.0,433612.0
63,Riverside,2Story,5214.0,1207.0,880.0,762.0,1939,1951,3,1,3,0,4,8,0,5.89,2.0,26.7,22.4,False,0.521,0.366,82.0,274400.0,264718.0
64,Suburbia,SplitLevel,5796.0,2230.0,1967.0,394.0,1923,1962,2,9,3,2,2,5,1,10.63,10.0,65.0,57.4,True,0.247,0.04,19.0,366200.0,373270.0
65,Suburbia,1Story,7815.0,1849.0,891.0,0.0,1907,1939,10,4,2,0,2,6,1,1.17,3.0,19.6,90.9,False,1.58,0.693,32.0,374100.0,362967.0
66,Riverside,1Story,11087.0,1584.0,833.0,326.0,1953,1967,4,3,3,2,2,6,1,1.51,1.0,42.8,74.9,False,-0.389,0.771,70.0,312700.0,312077.0
67,Riverside,1Story,9966.0,1688.0,773.0,0.0,2002,2014,3,7,3,2,6,11,2,5.62,8.0,100.0,75.3,False,0.2,0.311,42.0,300400.0,295656.0
68,Hillcrest,2Story,8606.0,1470.0,542.0,705.0,1999,2026,8,2,2,1,3,5,0,1.06,10.0,47.6,78.2,False,0.741,0.966,74.0,373100.0,387871.0
69,Downtown,1.5Story,9751.0,2339.0,1238.0,661.0,2007,2026,8,6,3,0,5,8,1,1.96,5.0,36.4,50.7,False,1.022,0.987,44.0,445000.0,448431.0
70,Hillcrest,1Story,6360.0,1070.0,662.0,455.0,1976,1998,2,1,1,1,5,5,0,6.4,2.0,52.6,71.9,False,-1.235,0.569,11.0,259300.0,253734.0
71,Lakeside,2Story,7439.0,1304.0,711.0,326.0,2009,2011,1,3,3,2,6,8,2,0.69,2.0,50.5,76.5,False,0.405,0.794,86.0,320900.0,323191.0
72,Hillcrest,SplitLevel,8046.0,1669.0,724.0,461.0,1998,2001,9,8,2,2,4,5,2,3.11,3.0,21.8,69.9,False,0.147,0.546,68.0,359100.0,388163.0
73,Suburbia,SplitLevel,4654.0,2738.0,536.0,681.0,2001,2026,6,4,2,1,6,7,1,3.98,6.0,0.3,60.9,False,0.303,0.261,13.0,375700.0,390938.0
74,Lakeside,1.5Story,5397.0,2430.0,215.0,396.0,1964,1983,5,10,2,1,4,8,2,0.47,,46.9,67.1,True,0.06,0.07,16.0,442000.0,437748.0
75,Downtown,SplitLevel,5472.0,948.0,756.0,170.0,1910,1944,5,4,3,1,5,9,0,22.58,7.0,49.9,47.5,False,1.713,0.344,33.0,282200.0,263611.0
76,Hillcrest,SplitLevel,10588.0,2593.0,1317.0,402.0,1947,1948,6,7,2,0,5,8,2,1.35,8.0,29.0,79.1,False,-0.891,0.185,95.0,450800.0,453663.0
77,Hillcrest,1Story,8830.0,2592.0,1033.0,415.0,2006,2013,7,1,2,1,4,6,1,1.35,3.0,67.9,42.2,False,-0.95,0.922,29.0,367700.0,373728.0
78,Suburbia,1Story,10035.0,1204.0,1605.0,169.0,1993,2025,1,10,2,2,3,6,1,3.07,2.0,63.9,53.3,True,-0.821,0.971,87.0,281500.0,268443.0
79,Riverside,1Story,4256.0,500.0,1265.0,497.0,1901,1941,3,7,2,0,2,5,0,15.03,10.0,50.5,80.3,False,-0.29,0.532,48.0,279900.0,279759.0
80,Suburbia,2Story,4821.0,1810.0,1170.0,541.0,1911,1941,10,8,2,2,2,6,1,3.38,2.0,29.4,73.2,False,0.293,0.563,20.0,406100.0,396862.0
81,Suburbia,2Story,10220.0,2467.0,1741.0,758.0,1982,1982,2,4,1,0,4,7,2,8.28,6.0,0.0,59.3,False,-0.456,0.93,11.0,400100.0,403765.0
82,Hillcrest,2Story,3064.0,2725.0,909.0,247.0,2023,2025,10,3,2,0,3,6,1,3.37,3.0,31.5,37.2,False,1.006,0.747,34.0,405800.0,410832.0
83,Suburbia,1.5Story,12439.0,1371.0,976.0,577.0,1992,2026,5,5,1,2,3,6,0,5.97,8.0,0.0,67.2,False,-0.004,0.162,22.0,347700.0,337527.0
84,Lakeside,1.5Story,4281.0,2814.0,945.0,615.0,2019,2026,2,3,3,0,5,9,2,4.12,4.0,0.0,56.7,False,-0.096,0.952,59.0,444400.0,436112.0
85,Downtown,1.5Story,10885.0,625.0,1598.0,543.0,1908,1928,6,1,2,1,2,6,1,7.54,2.0,47.9,76.6,False,-1.33,0.571,97.0,326600.0,330522.0
86,Downtown,1Story,5937.0,1648.0,951.0,0.0,2010,2026,7,7,3,2,4,8,2,11.74,4.0,58.4,58.7,False,1.821,0.021,80.0,326700.0,340636.0
87,Suburbia,2Story,11697.0,1621.0,678.0,290.0,1916,1926,4,8,2,1,4,8,2,3.79,2.0,0.0,36.5,False,-0.047,0.196,31.0,275400.0,296076.0
88,Riverside,1Story,24906.0,2484.0,1197.0,0.0,2011,2022,8,7,2,0,6,7,0,15.93,2.0,29.9,43.1,False,1.637,0.797,94.0,359700.0,378679.0
89,Lakeside,1Story,3657.0,2564.0,607.0,474.0,2022,2026,1,6,1,0,2,3,0,10.47,5.0,34.7,60.3,False,-0.622,0.128,96.0,368900.0,376760.0
90,Riverside,SplitLevel,10336.0,2375.0,1174.0,370.0,1964,2001,2,6,2,2,6,8,2,11.07,10.0,29.2,70.0,False,0.831,0.851,41.0,384000.0,380099.0
91,Downtown,SplitLevel,4303.0,1107.0,1124.0,667.0,1967,1981,7,10,2,0,5,9,0,7.88,3.0,7.4,47.1,False,-0.563,0.786,48.0,335700.0,356287.0
92,Suburbia,SplitLevel,9409.0,2324.0,870.0,0.0,1962,1968,6,6,2,0,5,9,2,1.02,8.0,61.6,54.3,False,1.819,0.035,48.0,310400.0,330171.0
93,Hillcrest,SplitLevel,7537.0,2130.0,1188.0,157.0,1969,1971,7,8,3,1,5,8,0,11.52,6.0,8.0,82.3,True,1.121,0.331,41.0,432700.0,428043.0
94,Hillcrest,SplitLevel,8480.0,931.0,325.0,424.0,2003,2003,9,5,2,0,5,7,1,12.35,10.0,0.0,88.0,False,0.85,0.507,15.0,375000.0,355593.0
95,Hillcrest,1Story,5889.0,713.0,1018.0,537.0,1935,1950,10,1,3,2,4,7,0,0.81,6.0,7.5,73.0,False,-0.725,0.076,89.0,365800.0,352282.0
96,Suburbia,2Story,10649.0,2421.0,756.0,0.0,1935,1956,6,4,1,2,4,4,2,10.5,2.0,,62.9,False,1.907,0.58,34.0,309500.0,332243.0
97,Hillcrest,2Story,4881.0,1751.0,2152.0,,2022,2026,6,8,2,2,3,6,1,7.34,5.0,29.7,56.8,False,2.038,0.98,8.0,421700.0,416804.0
98,Downtown,1Story,12514.0,1143.0,1015.0,699.0,2007,2016,10,7,3,2,6,11,2,4.81,1.0,19.6,77.7,False,-0.38,0.6,99.0,424500.0,412676.0
99,Downtown,2Story,7022.0,1736.0,700.0,282.0,1968,1995,10,7,2,2,3,7,0,1.91,3.0,45.6,62.3,False,0.162,0.494,12.0,388800.0,394887.0
100,Old Town,2Story,4959.0,2050.0,371.0,392.0,1925,1961,1,8,3,1,4,6,0,3.66,6.0,41.7,84.6,False,0.927,0.867,93.0,302800.0,305729.0
101,Old Town,SplitLevel,14161.0,1804.0,1498.0,0.0,2020,2026,6,3,2,0,3,5,1,5.08,10.0,0.0,85.5,False,-1.972,0.964,13.0,361500.0,357394.0
102,Suburbia,2Story,7914.0,996.0,803.0,145.0,2010,2026,10,9,2,0,3,6,0,2.31,,45.4,75.4,False,1.146,0.901,41.0,333200.0,327183.0
103,Lakeside,SplitLevel,15799.0,2887.0,618.0,451.0,1941,1963,1,8,2,0,6,9,1,0.57,4.0,58.6,59.0,False,1.024,0.037,52.0,412400.0,407731.0
104,Old Town,1.5Story,12425.0,2402.0,1091.0,0.0,1968,1996,10,4,3,0,2,6,2,7.03,7.0,32.5,60.4,False,-0.563,0.1,22.0,386600.0,377667.0
105,Suburbia,1Story,6128.0,1666.0,1223.0,654.0,1952,1952,8,6,3,2,6,10,1,10.16,3.0,30.3,38.4,False,-2.192,0.615,57.0,336600.0,333921.0
106,Suburbia,1.5Story,7866.0,1688.0,1216.0,566.0,2006,2026,2,9,3,0,6,9,2,1.74,1.0,72.9,67.1,False,0.333,0.227,57.0,296300.0,304031.0
107,Hillcrest,1Story,8454.0,2048.0,958.0,570.0,1986,2016,7,2,1,0,3,4,0,3.87,8.0,20.8,66.5,False,-1.134,0.521,86.0,392300.0,397814.0
108,Lakeside,1Story,13825.0,1229.0,1017.0,293.0,1962,1989,5,4,3,2,3,5,0,21.89,9.0,31.7,43.2,False,-1.588,0.839,42.0,326200.0,335845.0
109,Downtown,2Story,9444.0,2027.0,1047.0,680.0,2021,2026,4,2,3,1,2,6,0,17.1,7.0,41.6,110.6,False,0.371,0.938,87.0,427400.0,433080.0
110,Old Town,SplitLevel,8619.0,1118.0,1091.0,268.0,1976,2006,7,4,3,1,5,8,1,5.04,5.0,36.0,78.0,False,1.318,0.334,75.0,297000.0,290038.0
111,Hillcrest,1Story,7556.0,1811.0,1128.0,278.0,1960,2000,8,3,2,0,5,7,1,1.91,5.0,29.6,52.9,False,-0.219,0.849,80.0,355900.0,365429.0
112,Lakeside,2Story,7961.0,1207.0,1410.0,522.0,2016,2026,9,9,2,2,6,10,1,5.47,4.0,36.8,105.0,False,1.185,0.504,62.0,474200.0,460978.0
113,Hillcrest,1.5Story,12792.0,1235.0,974.0,381.0,1956,1974,5,10,2,1,3,7,0,1.22,10.0,66.4,59.1,False,0.664,0.659,18.0,328400.0,340664.0
114,Riverside,1.5Story,8114.0,2755.0,607.0,493.0,1952,1986,2,10,3,2,3,8,1,16.66,6.0,51.2,82.9,False,-1.373,0.125,66.0,393400.0,390915.0
115,Lakeside,1Story,7057.0,1883.0,889.0,529.0,1948,1976,9,4,3,2,5,7,2,2.56,9.0,33.5,69.6,False,-0.554,0.063,71.0,459900.0,449608.0
116,Suburbia,1Story,6650.0,1964.0,1267.0,744.0,1927,1949,4,10,3,1,3,8,0,6.4,1.0,17.7,59.7,False,1.079,0.78,37.0,359900.0,354315.0
117,Suburbia,2Story,6675.0,744.0,200.0,529.0,1935,1958,8,1,3,2,3,7,2,5.5,4.0,20.4,61.9,False,-0.562,0.598,63.0,249500.0,272368.0
118,Suburbia,1.5Story,4961.0,1522.0,202.0,361.0,1911,1925,8,2,2,0,2,3,0,4.38,3.0,54.0,93.9,False,0.819,0.824,61.0,304900.0,303243.0
119,Hillcrest,2Story,6231.0,2104.0,1336.0,568.0,1991,2016,1,4,1,2,6,7,2,2.05,2.0,3.1,83.8,False,-0.41,0.116,64.0,383800.0,392946.0
120,Suburbia,2Story,13690.0,1957.0,,327.0,1974,1993,5,3,1,2,4,4,2,1.64,10.0,83.1,65.8,False,0.721,0.172,68.0,345100.0,361438.0
121,Riverside,2Story,7538.0,665.0,419.0,606.0,2017,2022,1,10,3,0,5,8,1,3.76,1.0,34.4,31.1,False,0.429,0.063,67.0,226900.0,224138.0
122,Suburbia,1Story,10369.0,1964.0,992.0,470.0,1976,1994,7,8,1,0,5,7,0,13.03,6.0,7.4,73.5,False,-0.248,0.65,64.0,357400.0,372844.0
123,Downtown,1Story,3403.0,2052.0,782.0,0.0,1910,1948,8,8,1,0,4,5,1,3.59,3.0,38.6,45.6,True,0.693,0.616,31.0,377000.0,373933.0
124,Hillcrest,1Story,9886.0,2556.0,840.0,175.0,1978,1991,6,9,2,2,3,6,1,4.47,1.0,19.0,77.7,False,-2.16,0.426,69.0,427400.0,409410.0
125,Downtown,2Story,7658.0,1490.0,1078.0,0.0,1922,1949,4,8,3,0,3,8,1,0.88,10.0,26.6,55.1,False,-1.086,0.135,14.0,363500.0,359810.0
126,Riverside,2Story,6847.0,617.0,407.0,220.0,1904,1921,10,6,3,1,4,6,1,2.78,3.0,4.8,57.0,True,-0.464,0.024,89.0,316300.0,319159.0
127,Hillcrest,1Story,8633.0,1302.0,485.0,739.0,1983,1994,1,1,1,1,2,5,2,13.15,4.0,30.2,56.5,False,1.173,0.259,79.0,269200.0,271173.0
128,Downtown,2Story,6812.0,1247.0,823.0,276.0,1903,1918,2,1,2,0,4,5,2,0.57,2.0,0.0,86.4,False,-1.446,0.003,26.0,342900.0,331625.0
129,Downtown,1.5Story,3853.0,2255.0,889.0,577.0,1951,1990,4,10,3,0,2,4,1,0.85,,23.0,36.2,True,-0.035,0.949,7.0,411400.0,415210.0
130,Riverside,SplitLevel,11190.0,500.0,477.0,357.0,2012,2016,10,6,3,1,3,5,2,13.31,10.0,18.5,81.3,False,0.317,0.17,15.0,321000.0,326776.0
131,Lakeside,1Story,8822.0,1603.0,1282.0,422.0,1932,1959,9,10,3,2,5,7,0,7.14,4.0,25.0,74.2,False,0.248,0.265,68.0,429900.0,441411.0
132,Old Town,SplitLevel,7260.0,2634.0,775.0,453.0,1987,2021,6,1,3,1,2,5,2,3.3,9.0,19.7,66.7,False,-0.099,0.799,3.0,361600.0,372661.0
133,Riverside,2Story,5778.0,1854.0,773.0,723.0,1947,1954,10,7,1,2,2,5,0,22.98,5.0,35.7,59.9,False,-0.621,0.995,9.0,400500.0,389436.0
134,Hillcrest,2Story,4844.0,2343.0,1069.0,554.0,1914,1945,10,3,1,2,3,5,1,1.5,6.0,52.8,76.8,False,-0.247,0.621,70.0,442800.0,448786.0
135,Riverside,1.5Story,8764.0,947.0,896.0,522.0,1924,1950,6,4,1,2,5,6,2,3.09,9.0,42.2,60.1,False,0.975,0.253,49.0,323000.0,316125.0
136,Downtown,1.5Story,14253.0,969.0,1302.0,,1909,1922,2,7,1,1,6,9,0,6.95,10.0,61.0,59.9,False,-0.688,0.453,33.0,342700.0,334865.0
137,Old Town,SplitLevel,8700.0,2640.0,558.0,359.0,1919,1926,9,5,3,1,2,5,1,2.95,7.0,25.0,69.1,False,-2.159,0.06,27.0,376300.0,388143.0
138,Riverside,2Story,4994.0,1906.0,363.0,631.0,1920,1958,7,2,3,0,3,5,0,6.0,4.0,41.5,99.0,True,0.466,0.109,50.0,387100.0,396923.0
139,Suburbia,1.5Story,8767.0,1907.0,820.0,604.0,2011,2019,2,10,3,0,2,4,2,1.21,5.0,42.3,40.8,False,1.496,0.71,29.0,318000.0,310829.0
140,Downtown,1Story,7953.0,1235.0,975.0,0.0,2001,2026,9,8,1,1,2,4,1,28.0,9.0,58.0,77.0,False,-1.051,0.829,7.0,350300.0,348568.0
141,Riverside,1Story,10964.0,1905.0,429.0,435.0,1944,1970,4,4,3,1,6,8,0,0.76,4.0,20.4,65.4,False,1.361,0.27,45.0,330400.0,332653.0
142,Riverside,2Story,10020.0,1220.0,367.0,390.0,1991,2026,8,7,3,1,4,7,0,9.49,5.0,50.8,64.0,False,0.521,0.738,92.0,326500.0,320760.0
143,Old Town,SplitLevel,2850.0,2503.0,1027.0,321.0,1925,1937,3,2,1,1,5,6,0,2.16,8.0,17.9,40.5,False,-1.156,0.64,51.0,319900.0,307343.0
144,Riverside,2Story,9807.0,3350.0,632.0,331.0,1980,1981,1,5,3,2,5,8,0,16.08,9.0,23.6,36.4,False,-0.704,0.51,58.0,384300.0,384780.0
145,Riverside,SplitLevel,5703.0,2116.0,340.0,313.0,1925,1951,5,5,1,1,4,7,1,3.98,5.0,27.8,74.1,False,-0.748,0.289,33.0,332900.0,339891.0
146,Lakeside,1Story,4927.0,1501.0,1355.0,0.0,1980,1995,5,4,2,2,5,6,0,9.84,10.0,44.1,45.2,False,0.169,0.985,12.0,345600.0,344116.0
147,Hillcrest,1.5Story,7586.0,500.0,685.0,423.0,1945,1967,9,5,1,2,3,3,0,15.66,,13.3,86.3,True,-0.181,0.248,74.0,339600.0,349563.0
148,Riverside,1.5Story,9357.0,924.0,1433.0,529.0,2008,2026,2,10,2,1,4,6,1,4.65,5.0,16.0,49.7,False,1.106,0.209,40.0,306800.0,305064.0
149,Hillcrest,SplitLevel,4563.0,2705.0,962.0,538.0,2005,2018,10,1,1,0,3,5,1,1.24,3.0,22.1,77.9,False,0.849,0.11,7.0,447800.0,447752.0
